id,filename,pattern,checksum,uri
t11,G2B1_R11_3x5.mvl,,,http://e03u06/SCSW/JADEServices/v1/storage_content/storage_path_redirect/nearline/flynp/EASI-FISH_NP_Atlas_Mark_Z1/050724_PPS_Atlas_R11/G2_R11/G2B1_R11_3x5.mvl
t12,G2_B1_F_R12_ILP3_488_Nat_546_Mmt_669_1x.czi,,,http://e03u06/SCSW/JADEServices/v1/storage_content/storage_path_redirect/nearline/flynp/EASI-FISH_NP_Atlas_Mark_Z1/052924_PPS_Atlas_R12/G2_R12/G2_B1_F_R12_ILP3_488_Nat_546_Mmt_669_1x.czi
t12,G2B1_R12_3x5.mvl,,,http://e03u06/SCSW/JADEServices/v1/storage_content/storage_path_redirect/nearline/flynp/EASI-FISH_NP_Atlas_Mark_Z1/052924_PPS_Atlas_R12/G2_R12/G2B1_R12_3x5.mvl
t13,G2_B1_F_R13_VGlut_488_Chat_546_GAD_669_1x.czi,,,http://e03u06/SCSW/JADEServices/v1/storage_content/storage_path_redirect/nearline/flynp/EASI-FISH_NP_Atlas_Mark_Z1/060424_PPS_Atlas_R13/G2_R13/G2_B1_F_R13_VGlut_488_Chat_546_GAD_669_1x.czi
t13,G2B1_R13_3x5.mvl,,,http://e03u06/SCSW/JADEServices/v1/storage_content/storage_path_redirect/nearline/flynp/EASI-FISH_NP_Atlas_Mark_Z1/060424_PPS_Atlas_R13/G2_R13/G2B1_R13_3x5.mvl
t14,G2_B1_F_R14_SerT_488_Tdc2_546_Pale_669_1x.czi,,,http://e03u06/SCSW/JADEServices/v1/storage_content/storage_path_redirect/nearline/flynp/EASI-FISH_NP_Atlas_Mark_Z1/061124_PPS_Atlas_R14/G2_R14/G2_B1_F_R14_SerT_488_Tdc2_546_Pale_669_1x.czi
t14,G2B1_R14_3x5.mvl,,,http://e03u06/SCSW/JADEServices/v1/storage_content/storage_path_redirect/nearline/flynp/EASI-FISH_NP_Atlas_Mark_Z1/061124_PPS_Atlas_R14/G2_R14/G2B1_R14_3x5.mvl
t15,G2_B1_F_R15_Gpb5_488_Hdc_546_TBH_669_1x.czi,,,http://e03u06/SCSW/JADEServices/v1/storage_content/storage_path_redirect/nearline/flynp/EASI-FISH_NP_Atlas_Mark_Z1/061824_PPS_Atlas_R15/G2_R15/G2_B1_F_R15_Gpb5_488_Hdc_546_TBH_669_1x.czi
t15,G2B1_R15_3x5.mvl,,,http://e03u06/SCSW/JADEServices/v1/storage_content/storage_path_redirect/nearline/flynp/EASI-FISH_NP_Atlas_Mark_Z1/061824_PPS_Atlas_R15/G2_R15/G2B1_R15_3x5.mvl
t15.5,G2_B1_F_R155_Gpb5_488_Hdc_669_TBH_546_1x.czi,,,http://e03u06/SCSW/JADEServices/v1/storage_content/storage_path_redirect/nearline/flynp/EASI-FISH_NP_Atlas_Mark_Z1/062524_PPS_Atlas_R155/G2_R155/G2_B1_F_R155_Gpb5_488_Hdc_669_TBH_546_1x.czi
t15.5,G2B1_R155_3x5.mvl,,,http://e03u06/SCSW/JADEServices/v1/storage_content/storage_path_redirect/nearline/flynp/EASI-FISH_NP_Atlas_Mark_Z1/062524_PPS_Atlas_R155/G2_R155/G2B1_R155_3x5.mvl
t16,G2_B1_F_R16_Orge_488_Nos_546_ShakB_669_1x.czi,,,http://e03u06/SCSW/JADEServices/v1/storage_content/storage_path_redirect/nearline/flynp/EASI-FISH_NP_Atlas_Mark_Z1/070224_PPS_Atlas_R16/G2_R16/G2_B1_F_R16_Orge_488_Nos_546_ShakB_669_1x.czi
t16,G2B1_R16_3x5.mvl,,,http://e03u06/SCSW/JADEServices/v1/storage_content/storage_path_redirect/nearline/flynp/EASI-FISH_NP_Atlas_Mark_Z1/070224_PPS_Atlas_R16/G2_R16/G2B1_R16_3x5.mvl
t17,G2_B1_F_R17_Inx7_488_Inx3_546_Inx2_647_1x.czi,,,http://e03u06/SCSW/JADEServices/v1/storage_content/storage_path_redirect/nearline/flynp/EASI-FISH_NP_Atlas_Mark_Z1/071124_PPS_Atlas_R17/G2_R17/G2_B1_F_R17_Inx7_488_Inx3_546_Inx2_647_1x.czi
t17,G2B1_R17_3x5.mvl,,,http://e03u06/SCSW/JADEServices/v1/storage_content/storage_path_redirect/nearline/flynp/EASI-FISH_NP_Atlas_Mark_Z1/071124_PPS_Atlas_R17/G2_R17/G2B1_R17_3x5.mvl
