id,filename,pattern,checksum,uri
t1,G1_B2_M_R1_Gpb5_488_Eh_546_CCAP_669_1x.czi,,,http://e03u06/SCSW/JADEServices/v1/storage_content/storage_path_redirect/nearline/flynp/EASI-FISH_NP_Atlas_Mark_Z1/022724_PPS_Atlas_R1/Gel1/G1_B2_M_R1_Gpb5_488_Eh_546_CCAP_669_1x.czi
t1,G1B2_R1_3x5.mvl,,,http://e03u06/SCSW/JADEServices/v1/storage_content/storage_path_redirect/nearline/flynp/EASI-FISH_NP_Atlas_Mark_Z1/022724_PPS_Atlas_R1/Gel1/G1B2_R1_3x5.mvl
t8.nplp1,G1_B2_M_R8_Nplp1_546_1x.czi,,,http://e03u06/SCSW/JADEServices/v1/storage_content/storage_path_redirect/nearline/flynp/EASI-FISH_NP_Atlas_Mark_Z1/041624_PPS_Atlas_R8/G1R8/NPlP1_5%25/G1_B2_M_R8_Nplp1_546_1x.czi
t8.nplp1,G1B2_R8_3x5_nplp1only.mvl,,,http://e03u06/SCSW/JADEServices/v1/storage_content/storage_path_redirect/nearline/flynp/EASI-FISH_NP_Atlas_Mark_Z1/041624_PPS_Atlas_R8/G1R8/NPlP1_5%25/G1B2_R8_3x5_nplp1only.mvl
