id,filename,pattern
t1,G1_B1_F_R1_Gpb5_488_Eh_546_CCAP_669_1x.czi,
t1,G1_B1_F_R1_Gpb5_488_Eh_546_CCAP_669_1x.mvl,
t2,G1_B1_F_R2_CCHa1_488_ILP7_546_RyA_669_1x.czi,
t2,G1_B1_F_R2_CCHa1_488_ILP7_546_RyA_669_1x.mvl,
t3,G1_B1_F_R3_SiFA_488_CNMa_546_Crz_669_1x.czi,
t3,G1_B1_F_R3_SiFA_488_CNMa_546_Crz_669_1x.mvl,
