id,filename,pattern,checksum,uri,warped_channels_map
t1,LHA3_R3_tiny_V01.czi,LHA3_R3_tiny_V{x}.czi,,https://ndownloader.figshare.com/files/30900664,
t1,LHA3_R3_tiny_V02.czi,LHA3_R3_tiny_V{x}.czi,,https://ndownloader.figshare.com/files/30900676,
t2,LHA3_R5_tiny_V01.czi,LHA3_R5_tiny_V{x}.czi,,https://ndownloader.figshare.com/files/30900766,
t2,LHA3_R5_tiny_V02.czi,LHA3_R5_tiny_V{x}.czi,,https://ndownloader.figshare.com/files/30900781,
